Label,Text
true,"Este producto es excelente, me encantó su calidad"
true,"La atención fue rápida y el producto cumplió mis expectativas"
false,"No recomiendo este producto, llegó roto"
false,"Tardó mucho en llegar y no funciona"
true,"Muy buena experiencia, volvería a comprar"
false,"Es un engaño, no coincide con la descripción"
true,"Funciona perfectamente, justo lo que necesitaba"
false,"Mal servicio al cliente y mala calidad"
true,"La mejor compra que he hecho este año"
false,"Nunca más compraré aquí"
